Ticker,Price,SMA_20,SMA_50,RSI_14,MACD,ADX_14,Trend,Signal,Strength
EWZ,$38.02,$35.97,$33.62,68.0,1.3371,39.5,↑ UP,BUY,4
EWL,$63.40,$61.44,$60.09,66.3,0.8157,19.7,↑ UP,HOLD,0
EWZS,$15.20,$14.49,$13.72,63.8,0.4450,29.4,↑ UP,BUY,4
EWT,$70.80,$68.54,$65.09,65.4,1.3062,31.1,↑ UP,BUY,4
EEM,$60.55,$58.96,$56.25,65.9,1.0143,33.8,↑ UP,BUY,4
EWW,$80.41,$76.09,$71.82,69.0,2.1509,41.8,↑ UP,BUY,4
EWQ,$46.78,$45.68,$45.18,64.0,0.3004,14.6,↑ UP,HOLD,0
EWH,$23.75,$23.02,$22.14,67.7,0.4358,34.2,↑ UP,BUY,4
EWN,$62.85,$61.96,$59.12,59.6,0.8390,24.6,↑ UP,HOLD,0
EWK,$26.86,$25.85,$24.89,74.6,0.5543,46.3,↑ UP,HOLD,0
EWG,$44.17,$43.44,$42.62,60.6,0.2547,14.6,↑ UP,HOLD,0
ECH,$45.93,$45.56,$41.95,59.5,1.1562,37.8,↑ UP,BUY,4
EWC,$55.68,$55.24,$54.16,57.1,0.2614,20.0,↑ UP,HOLD,0
TUR,$41.44,$39.74,$36.70,72.9,1.3888,46.5,↑ UP,HOLD,0
EWA,$28.75,$27.49,$26.63,68.1,0.5309,36.7,↑ UP,BUY,4
GREK,$74.45,$72.93,$68.87,60.2,2.0130,44.3,↑ UP,BUY,4
EWD,$53.25,$52.14,$50.08,60.6,0.8518,29.4,↑ UP,BUY,4
EWI,$57.53,$55.63,$54.46,64.6,0.6743,23.8,↑ UP,HOLD,0
COLO,$41.41,$41.37,$38.10,57.3,0.9921,35.5,↑ UP,BUY,4
ARGT,$93.10,$95.75,$93.07,45.3,0.5380,17.0,↑ UP,HOLD,0
