date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy
2025-06-10 00:00:00+05:30,2520.7,2581.9,2499.0,2533.4,2149650,66.40648453917743,2447.17,,2455.5773595830865,2422.430947915663,33.14641166742331,28.338578101011187,4.807833566412121,2517.2322610329693,2447.17,2377.107738967031,53.37142857142869,951427.65,2.2593940800438164,1.2024128150840852,ADANIENT,6401,2453.342857142857,2693.514285714286,2746.885714285715,3.160067216276266,6.320134432552532,8.426845910070062,2.0,2.6666666666666727,2026-02-11,Momentum Breakout
2026-02-04 00:00:00+05:30,1529.9,1572.3,1508.5,1567.9,6632728,61.04790898894409,1419.615,1465.364,1439.3487666828232,1437.7253123576268,1.6234543251964624,-17.495139189897838,19.1185935150943,1538.3735657852512,1419.615,1300.8564342147488,62.29285714285719,3055961.25,2.170422808862514,2.423569375489949,ADANIPORTS,3861249,1474.4607142857144,1723.632142857143,1785.9250000000002,5.959518190846717,9.932530318077868,13.905542445309017,1.6666666666666676,2.333333333333335,2026-02-11,Momentum Breakout
2026-01-07 00:00:00+05:30,7349.0,7488.0,7315.0,7447.5,567878,76.59251769464106,7090.575,7312.86,7174.981534101096,7180.337745763138,-5.35621166204146,-59.97754574271058,54.62133408066912,7341.211510760707,7090.575,6839.938489239293,121.17857142857143,327257.35,1.7352643110995063,1.354109961894393,APOLLOHOSP,40193,7265.732142857143,7811.035714285715,7932.214285714285,2.4406560207164403,4.881312041432893,6.508416055243845,2.000000000000005,2.6666666666666683,2026-02-11,Momentum Breakout
2026-01-12 00:00:00+05:30,2826.0,2900.0,2808.0,2896.4,1743901,61.12224448897796,2793.54,2800.822,2814.4856658462472,2803.0280675549493,11.457598291297927,3.957073608677774,7.500524682620153,2863.9430322312946,2793.54,2723.1369677687053,51.2071428571429,1149823.55,1.5166683618543035,2.509290391081228,ASIANPAINT,60417,2819.589285714286,3024.4178571428574,3075.625,2.6519373803933957,4.4198956339889985,6.187853887584584,1.6666666666666687,2.3333333333333313,2026-02-11,Momentum Breakout
2026-01-30 00:00:00+05:30,1352.0,1378.7,1352.0,1370.4,14758482,65.73795180722897,1295.64,1274.8059999999998,1313.2494781793557,1292.4566526716421,20.792825507713587,13.014938864616997,7.77788664309659,1354.5907341144396,1295.64,1236.6892658855606,36.800000000000004,8156881.5,1.8093289696558665,0.4913104055144127,AXISBANK,1510401,1315.2,1480.8000000000002,1517.6000000000001,4.028021015761825,8.05604203152365,10.741389375364859,2.0,2.666666666666665,2026-02-11,Momentum Breakout
2025-12-30 00:00:00+05:30,9087.0,9299.0,9025.5,9282.0,464922,62.912308930008045,9043.45,8995.66,9086.61508464493,9041.399229971603,45.21585467332807,24.858720570004284,20.357134103323784,9245.61093120406,9043.45,8841.28906879594,145.28571428571428,297574.65,1.5623709882545438,2.1459227467811157,BAJAJ-AUTO,4267265,9064.07142857143,9645.214285714286,9790.5,2.347862221811793,3.913103703019675,5.478345184227537,1.6666666666666752,2.333333333333342,2026-02-11,Momentum Breakout
2025-10-20 00:00:00+05:30,2088.0,2149.5,2088.0,2139.8,1844869,74.10976120653542,2041.8400000000001,2007.132,2060.952028097062,2041.6260298017319,19.32599829533001,9.931537946297507,9.394460349032503,2119.76264450284,2041.8400000000001,1963.9173554971605,36.7928571428572,931148.1,1.9812841802501664,2.6923261505975127,BAJAJFINSV,4268801,2084.6107142857145,2250.1785714285716,2286.971428571429,2.5791796296049014,5.158359259209803,6.877812345613085,2.0,2.6666666666666723,2026-02-11,Momentum Breakout
2025-09-04 00:00:00+05:30,915.0,948.0,912.25,934.75,21738706,73.23593410009323,885.6400000000001,908.143,895.061256522803,894.9980155404162,0.06324098238678744,-5.225750460434724,5.288991442821511,922.4113217774816,885.6400000000001,848.8686782225186,22.085714285714264,7390266.5,2.94153208142088,4.28985830637064,BAJFINANCE,81153,901.6214285714286,1001.0071428571428,1023.092857142857,3.5441103427195912,7.0882206854391825,9.450960913918912,2.0,2.6666666666666674,2026-02-11,Momentum Breakout
2025-11-04 00:00:00+05:30,2107.0,2135.6,2103.5,2113.3,12263078,73.93051966695383,2015.75,1952.0880000000002,2054.787443774887,2011.7742488808553,43.013194894031585,36.66601566533667,6.3471792286949125,2139.846083317475,2015.75,1891.653916682525,39.97142857142861,5067897.4,2.419756564132494,1.894889103182265,BHARTIARTL,2714625,2053.342857142857,2233.2142857142862,2273.1857142857148,2.8371335284693617,5.6742670569387235,7.5656894092516245,2.0,2.6666666666666643,2026-02-11,Momentum Breakout
2025-12-31 00:00:00+05:30,359.2,375.25,358.75,373.3,12051156,74.49781659388645,354.2825,349.68799999999993,359.0845470374611,354.856145661383,4.228401376078125,3.100712540316298,1.1276888357618269,368.95450251822166,354.2825,339.6104974817784,7.95714285714286,5630839.3,2.1402059902508674,3.9253897550111425,BPCL,134657,361.3642857142857,397.1714285714286,405.12857142857143,3.197351804370295,6.394703608740575,8.526271478320767,1.9999999999999953,2.6666666666666607,2026-02-11,Momentum Breakout
