date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,supertrend,supertrend_dir,volume_sma_20,volume_ratio,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,ema50,ema200,ema_alignment
2025-06-10 00:00:00+05:30,2520.7,2581.9,2499.0,2533.4,2149650,66.40648453917743,2447.17,,2455.5767708971143,2422.426008391448,2434.825252856142,2392.862717241939,2370.6561549117573,2357.939521788357,33.150762505666535,28.343911645801438,4.806850859865097,2517.2322610329693,2447.17,2377.107738967031,53.37142857142869,,1.0,951427.65,2.2593940800438164,ADANIENT,6401,2426.657142857143,2640.1428571428573,2693.514285714286,4.213422955035022,4.213422955035022,6.320134432552532,1.0,1.4999999999999998,2026-02-07,Momentum Breakout,,,
2026-02-04 00:00:00+05:30,1529.9,1572.3,1508.5,1567.9,6632728,61.04790898894409,1419.6150000000002,1465.364,1439.3487666828232,1437.7253033713325,1435.178164738767,1446.5369153987037,1439.9766783916327,1403.3941050823012,1.6234633114906956,-17.49512597475953,19.118589286250227,1538.37356578525,1419.6150000000002,1300.8564342147504,62.29285714285719,,1.0,3055961.25,2.170422808862514,ADANIPORTS,3861249,1443.3142857142857,1692.4857142857145,1754.7785714285717,7.9460242544623,7.9460242544623,11.91903638169345,1.0,1.5000000000000002,2026-02-07,Momentum Breakout,,,
2026-01-07 00:00:00+05:30,7349.0,7488.0,7315.0,7447.5,567878,76.59251769464106,7090.575,7312.86,7174.981534101087,7180.337612762963,7164.134472689349,7276.02936908848,7357.880528573775,7312.588773391657,-5.356078661875472,-59.977350154254026,54.621271492378554,7341.211510760707,7090.575,6839.938489239293,121.17857142857143,,1.0,327257.35,1.7352643110995063,APOLLOHOSP,40193,7205.142857142857,7689.857142857143,7811.035714285715,3.2542080276219285,3.2542080276219285,4.881312041432893,1.0,1.5,2026-02-07,Momentum Breakout,,,
2026-01-12 00:00:00+05:30,2826.0,2900.0,2808.0,2896.4,1743901,61.12224448897796,2793.54,2800.822,2814.4856658462454,2803.0280354816014,2808.274497309738,2761.2700837898474,2670.379277837691,2571.8700340831765,11.457630364644046,3.9571207753597584,7.500509589284288,2863.943032231293,2793.54,2723.136967768707,51.2071428571429,,1.0,1149823.55,1.5166683618543035,ASIANPAINT,60417,2793.9857142857145,2998.8142857142857,3050.0214285714287,3.535916507191189,3.535916507191189,5.303874760786791,1.0,1.5000000000000022,2026-02-07,Momentum Breakout,,,
2026-01-30 00:00:00+05:30,1352.0,1378.7,1352.0,1370.4,14758482,65.73795180722897,1295.6399999999999,1274.8059999999998,1313.2494781793555,1292.4566333013424,1299.4344338529377,1271.596808731841,1238.2048742885179,1201.1006409597778,20.792844878013057,13.014967350350883,7.777877527662174,1354.5907341144361,1295.6399999999999,1236.6892658855636,36.800000000000004,,1.0,8156881.5,1.8093289696558665,AXISBANK,1510401,1296.8000000000002,1444.0,1480.8000000000002,5.3706946876824215,5.3706946876824215,8.05604203152365,1.0,1.500000000000003,2026-02-07,Momentum Breakout,,,
2025-12-30 00:00:00+05:30,9087.0,9299.0,9025.5,9282.0,464922,62.912308930008045,9043.45,8995.66,9086.615084644929,9041.399197889948,9056.493883839192,8990.245940896772,8855.990124121325,8605.094356784395,45.2158867549806,24.858767748892035,20.357119006088567,9245.610931204053,9043.45,8841.289068795948,145.28571428571428,,1.0,297574.65,1.5623709882545438,BAJAJ-AUTO,4267265,8991.42857142857,9572.57142857143,9717.857142857143,3.130482962415744,3.130482962415744,4.6957244436236065,1.0,1.499999999999997,2026-02-07,Momentum Breakout,,,
2025-10-20 00:00:00+05:30,2088.0,2149.5,2088.0,2139.8,1844869,74.10976120653542,2041.8399999999997,2007.1319999999998,2060.952028062361,2041.622488194688,2048.2234088897635,2025.0605199579002,2011.562708345783,1999.7877073647724,19.32953986767302,9.936746064772901,9.392793802900119,2119.76264450284,2041.8399999999997,1963.9173554971596,36.7928571428572,,1.0,931148.1,1.9812841802501664,BAJAJFINSV,4268801,2066.214285714286,2213.3857142857146,2250.1785714285716,3.4389061728065426,3.4389061728065426,5.158359259209803,1.0,1.4999999999999967,2026-02-07,Momentum Breakout,,,
2025-09-04 00:00:00+05:30,915.0,948.0,912.25,934.75,21738706,73.23593410009323,885.6400000000001,908.143,895.0612562263941,894.996530870209,893.8131582722617,901.2296728754773,907.403868804331,910.8204275897838,0.06472535618513575,-5.223568205581967,5.2882935617671025,922.4113217774816,885.6400000000001,848.8686782225186,22.085714285714264,,1.0,7390266.5,2.94153208142088,BAJFINANCE,81153,890.5785714285714,978.9214285714286,1001.0071428571428,4.725480456959462,4.725480456959462,7.0882206854391825,1.0,1.4999999999999976,2026-02-07,Momentum Breakout,,,
2025-11-04 00:00:00+05:30,2107.0,2135.6,2103.5,2113.3,12263078,73.93051966695383,2015.75,1952.088,2054.7874437664586,2011.7720879208618,2027.2883509775415,1975.3479441229274,1939.469825456391,1899.392809777978,43.01535584559679,36.6691935167855,6.346162328811289,2139.846083317475,2015.75,1891.653916682525,39.97142857142861,,1.0,5067897.4,2.419756564132494,BHARTIARTL,2714625,2033.357142857143,2193.2428571428572,2233.2142857142862,3.7828447046258122,3.782844704625801,5.6742670569387235,0.9999999999999971,1.5000000000000013,2026-02-07,Momentum Breakout,,,
2025-12-31 00:00:00+05:30,359.2,375.25,358.75,373.3,12051156,74.49781659388645,354.28249999999997,349.68799999999993,359.0845470374607,354.8561415403996,356.4985228677232,348.0394525941401,336.07720196392177,321.0315747704829,4.22840549706109,3.1007186005843255,1.1276868964767641,368.9545025182217,354.28249999999997,339.6104974817782,7.95714285714286,,1.0,5630839.3,2.1402059902508674,BPCL,134657,357.3857142857143,389.2142857142857,397.1714285714286,4.263135739160384,4.263135739160384,6.394703608740575,1.0,1.5,2026-02-07,Momentum Breakout,,,
